Variable:,pr
,Qatar,"Ad Dawhah","Al Ghuwayriyah","Al Jumayliyah","Al Khawr",Al-wakrah,"Ar Rayyan","Ash Shamal","Jarayan Al Batnah","Umm Salal"
1934,91.52,85.05,100.04,89.08,100.61,86.95,92.59,100.97,87.74,94.52
1935,80.53,80.98,91.83,79.00,92.91,77.70,80.62,95.27,73.27,84.00
1936,60.43,62.86,67.36,58.08,68.66,60.17,60.50,70.20,55.95,62.59
1937,57.70,53.56,65.68,55.34,64.97,55.46,56.96,64.66,54.91,59.42
1938,58.79,66.63,67.76,57.20,70.72,59.38,58.06,75.27,50.69,61.13
1939,117.28,110.42,126.56,118.61,126.10,112.58,110.50,128.02,112.77,115.04
1940,29.36,29.79,33.44,26.84,33.91,30.07,27.50,36.15,27.59,29.30
1941,44.74,40.90,46.06,42.80,45.56,44.36,43.78,45.84,45.84,44.45
1942,62.83,63.15,70.70,61.22,70.06,61.29,63.97,71.29,58.66,66.13
1943,56.30,64.44,61.63,54.50,65.19,58.25,56.24,67.77,50.55,58.05
1944,76.79,86.21,89.68,74.91,95.34,77.40,77.27,95.52,65.54,81.06
1945,50.25,64.84,56.04,48.34,60.49,54.62,48.96,65.04,42.60,51.38
1946,5.96,6.89,3.08,3.23,3.93,9.27,4.60,6.32,8.37,4.31
1947,103.43,100.28,116.69,96.12,117.91,100.77,107.60,117.18,97.98,110.15
1948,98.76,95.85,107.93,97.50,108.56,94.76,98.87,110.81,93.38,101.49
1949,99.01,108.95,113.88,96.73,119.85,98.28,100.45,122.99,85.76,104.56
1950,26.67,23.88,25.27,23.77,25.28,27.70,26.68,26.06,29.27,26.30
1951,69.46,72.84,76.70,67.34,79.23,68.85,70.40,81.54,63.80,72.38
1952,38.11,33.99,40.35,33.65,40.46,38.51,37.17,42.16,39.22,38.05
1953,31.43,29.98,34.59,28.90,35.34,31.11,29.62,39.21,30.10,31.11
1954,107.05,101.30,125.77,104.68,123.51,99.64,109.94,126.03,97.46,114.55
1955,153.18,176.14,165.35,149.09,173.37,158.17,161.22,170.00,139.77,162.87
1956,35.16,41.16,38.98,32.81,41.85,37.13,33.04,47.82,30.88,34.98
1957,99.45,107.33,117.08,97.96,120.25,97.14,97.51,125.89,85.69,103.43
1958,78.40,95.06,88.38,74.60,93.52,84.33,74.75,97.56,69.03,79.16
1959,46.87,44.11,52.75,43.62,52.80,45.68,45.73,55.22,44.65,47.63
1960,15.36,15.27,14.33,13.09,15.33,17.42,13.57,16.63,16.79,13.90
1961,79.89,74.72,92.75,78.50,91.94,75.13,77.68,94.19,73.46,81.94
1962,13.83,10.93,15.63,13.61,15.62,12.54,10.71,18.23,13.31,12.11
1963,40.07,24.53,46.53,34.62,42.87,35.34,41.59,40.45,42.76,42.63
1964,143.20,176.71,162.83,142.42,171.28,149.83,147.90,171.47,121.33,152.99
1965,52.99,47.98,60.21,52.99,60.23,50.15,47.90,62.49,49.53,51.33
1966,38.81,34.95,43.02,38.34,41.34,36.69,38.65,42.05,37.56,39.84
1967,32.14,23.25,34.67,30.05,33.07,29.14,29.83,34.90,33.62,31.02
1968,81.96,77.06,91.54,80.61,89.90,78.35,81.42,91.39,77.94,84.36
1969,131.32,155.91,147.50,131.14,152.47,138.06,125.18,156.67,114.80,132.14
1970,10.44,13.47,12.46,9.76,13.91,11.05,8.89,16.34,8.27,10.05
1971,35.07,31.05,37.96,34.94,37.46,33.50,31.19,39.71,34.31,33.08
1972,90.83,91.35,98.69,87.75,100.68,88.98,90.53,102.73,86.46,93.14
1973,16.91,22.42,19.01,16.41,20.73,18.65,16.06,21.95,14.13,17.06
1974,61.77,58.41,68.76,58.87,69.52,58.70,61.95,72.41,58.55,63.93
1975,60.09,69.29,68.56,59.21,70.78,61.22,60.28,73.26,52.17,62.90
1976,207.37,198.02,220.78,201.13,218.27,205.24,203.86,217.51,205.38,208.79
1977,82.96,97.52,97.12,77.97,100.59,86.62,86.36,99.02,72.69,90.06
1978,27.23,24.48,28.72,23.09,29.58,28.99,23.44,30.74,29.16,25.14
1979,71.04,82.16,78.53,68.66,83.68,73.15,72.12,84.16,63.68,74.46
1980,74.78,76.09,83.88,71.14,83.82,73.70,76.39,86.35,69.92,78.69
1981,38.34,36.65,40.64,36.15,40.87,37.47,38.43,41.93,37.85,39.01
1982,177.48,162.28,192.24,171.06,189.63,169.65,183.04,185.91,174.45,185.27
1983,88.17,76.51,91.44,83.55,89.24,84.28,90.32,87.89,90.95,90.32
1984,54.41,52.38,57.73,52.26,58.56,53.15,55.86,58.21,53.18,56.36
1985,46.34,46.67,50.62,43.40,52.11,46.59,46.89,54.83,43.33,47.83
1986,79.59,78.91,88.07,78.92,89.23,77.65,77.65,92.91,73.26,80.47
1987,44.69,38.74,47.29,42.62,46.56,41.94,45.61,45.98,45.42,46.02
1988,107.76,105.67,122.33,108.37,119.52,101.30,109.73,122.97,98.65,113.30
1989,81.95,88.19,90.33,79.99,94.32,82.61,83.69,94.98,74.36,85.71
1990,61.33,68.44,67.29,60.97,68.71,63.56,57.36,71.32,56.05,60.47
1991,78.34,90.84,85.28,75.83,89.62,81.62,78.80,92.51,70.76,81.09
1992,60.05,67.82,66.57,56.48,70.26,61.98,60.50,71.55,55.04,62.74
1993,100.39,103.60,112.24,97.80,111.57,99.30,101.68,112.68,93.66,105.00
1994,41.54,29.34,43.74,37.65,41.85,37.63,42.93,40.64,44.80,42.88
1995,94.17,98.95,102.93,93.11,106.21,92.95,95.25,108.86,86.32,97.60
1996,99.73,105.33,109.84,97.18,111.30,99.11,100.31,113.48,92.58,103.25
1997,100.01,96.87,110.38,96.04,110.70,95.97,104.77,109.12,95.40,106.35
1998,71.19,95.31,81.96,69.64,87.98,77.48,70.05,91.64,58.38,74.25
1999,76.72,77.16,86.00,74.93,85.28,74.52,77.68,89.31,70.91,80.13
2000,62.52,75.46,72.04,60.51,77.11,65.99,63.50,78.13,52.82,66.32
2001,14.01,14.23,16.87,12.90,17.31,13.55,13.05,19.44,12.31,14.19
2002,56.75,60.37,67.32,56.14,68.95,55.18,54.83,74.73,47.71,58.30
2003,62.95,61.28,68.61,62.38,68.58,60.94,62.16,72.38,58.88,63.82
2004,64.81,70.92,74.09,64.33,77.55,64.37,63.32,83.77,55.16,66.32
2005,61.19,69.40,68.69,59.90,70.82,62.53,60.76,72.65,54.60,63.31
2006,63.18,59.91,71.08,61.16,71.46,60.89,62.49,72.16,59.56,64.96
2007,40.33,37.91,44.77,39.40,43.93,38.45,39.53,46.15,38.37,41.02
2008,30.49,42.23,35.22,30.03,38.28,33.82,29.53,39.82,24.38,31.46
2009,90.11,101.92,99.20,89.02,104.57,93.00,90.76,106.07,80.06,93.43
2010,32.70,22.20,35.40,29.77,32.92,29.83,32.76,31.49,35.26,33.21
2011,56.49,71.96,64.93,56.00,68.21,60.48,54.53,72.01,46.79,57.82
2012,40.55,40.68,45.84,39.87,47.10,39.43,40.32,49.44,36.24,41.78
2013,35.16,34.19,37.30,33.18,37.76,35.52,34.49,38.02,34.75,35.31
2014,74.95,80.06,89.04,73.09,90.73,73.89,72.90,92.70,65.19,77.61
2015,43.90,49.76,48.22,42.02,51.42,45.60,43.85,53.18,39.47,45.29
2016,21.42,20.08,20.89,19.03,20.91,23.11,20.68,20.38,23.41,20.81
2017,142.43,131.79,160.13,141.23,155.99,131.98,146.49,156.73,134.75,150.37
2018,59.84,53.17,64.66,59.92,63.08,57.80,54.35,63.80,59.23,57.28
2019,162.66,141.09,179.32,161.65,175.34,149.14,163.18,171.95,158.20,167.19
2020,56.17,59.94,61.03,54.01,62.75,57.36,54.62,64.78,52.65,56.60
